id,split,text
expiration_d_une_api,train,Mon récépissé de séjour arrive à terme le mois prochain et je ne sais pas comment prolonger ma situation.
expiration_d_une_api,train,La vignette provisoire que j’ai reçue se termine bientôt ; pourriez‑vous m’indiquer la marche à suivre pour éviter une rupture de droit ?
expiration_d_une_api,train,"Je viens de constater que mon autorisation temporaire ne sera plus valide dans dix jours, que dois‑je faire ?"
expiration_d_une_api,train,"Mon document provisoire pour le titre de séjour expire très bientôt, j’ai peur d’être en situation irrégulière."
expiration_d_une_api,train,Le papier qui prolongeait mon instruction va expirer ; comment déposer une demande de renouvellement ?
expiration_d_une_api,test,"Ma preuve de dépôt délivrée par vos services arrive à échéance la semaine prochaine, je souhaite savoir comment la faire prolonger."
expiration_d_une_api,test,La date de validité de mon récépissé touche à sa fin et je n’ai pas encore reçu le titre définitif ; quelles démarches entreprendre ?
expiration_d_une_api,test,"Je suis encore dans l’attente de la carte, mais le document provisoire va se périmer, pouvez‑vous m’aider ?"
expiration_d_une_api,test,Dans quinze jours mon attestation arrive à son terme et je n’arrive pas à prendre rendez‑vous pour la prolonger.
expiration_d_une_api,test,Merci de m’indiquer la procédure lorsque la pièce provisoire de séjour va devenir caduque.
depot_de_demande_d_asile,train,Je viens d’arriver en France et je souhaite introduire une demande de protection internationale auprès de vos services.
depot_de_demande_d_asile,train,Pourriez‑vous m’orienter sur la façon d’enregistrer ma requête de refuge ?
depot_de_demande_d_asile,train,Je cherche à obtenir un rendez‑vous afin de formaliser ma requête de sécurité sur le territoire.
depot_de_demande_d_asile,train,Je voudrais savoir quel formulaire remplir pour solliciter la protection de la France.
depot_de_demande_d_asile,train,Quelle est la procédure actuelle pour déposer une demande de statut de réfugié ?
depot_de_demande_d_asile,test,Merci de me communiquer la liste des pièces nécessaires pour déposer ma requête d’asile.
depot_de_demande_d_asile,test,Existe‑t‑il un créneau en ligne pour enregistrer ma demande de secours international ?
depot_de_demande_d_asile,test,Je souhaiterais déposer ma première demande de protection et j’ignore où me présenter.
depot_de_demande_d_asile,test,Pouvez‑vous m’indiquer le service compétent pour créer mon dossier de protection?
depot_de_demande_d_asile,test,"J’aimerais entamer la démarche pour être reconnu réfugié, quelles sont les étapes ?"
ou_en_est_ma_demande_d_asile_en_cours,train,Je n’ai pas de nouvelles concernant le traitement de ma requête d’asile déposée en février ; pouvez‑vous m’informer sur l’avancement ?
ou_en_est_ma_demande_d_asile_en_cours,train,J’aimerais connaître le statut de mon dossier de protection introduit il y a six mois.
ou_en_est_ma_demande_d_asile_en_cours,train,Pouvez‑vous me dire si une décision a été prise concernant ma demande introduite le 12 janvier ?
ou_en_est_ma_demande_d_asile_en_cours,train,Je vous écris pour savoir où en est l’instruction de mon dossier de refuge.
ou_en_est_ma_demande_d_asile_en_cours,train,"Depuis mon entretien à l’OFII je n’ai reçu aucune notification, pourriez‑vous vérifier l’état de mon dossier ?"
ou_en_est_ma_demande_d_asile_en_cours,test,Merci de me renseigner sur le délai restant avant la décision pour ma requête de protection.
ou_en_est_ma_demande_d_asile_en_cours,test,Mon avocat m’indique que la procédure devrait être terminée ; auriez‑vous des informations actualisées sur mon dossier ?
ou_en_est_ma_demande_d_asile_en_cours,test,Je souhaite connaître le point d’avancement du traitement de ma demande de statut de réfugié.
ou_en_est_ma_demande_d_asile_en_cours,test,Pouvez‑vous confirmer si mon dossier est toujours en cours ou déjà transféré à l’OFPRA ?
ou_en_est_ma_demande_d_asile_en_cours,test,"Je n’arrive pas à consulter mon état de dossier en ligne, pourriez‑vous me transmettre un résumé de son avancée ?"
expiration_d_une_atda,train,Mon attestation de demandeur d’asile arrive à expiration et je crains de ne plus pouvoir justifier mon séjour.
expiration_d_une_atda,train,"La carte qui m’a été remise lors du dépôt expire bientôt, comment la prolonger ?"
expiration_d_une_atda,train,"Mon document ATDA n’est valable que jusqu’au 30 juin, quelles démarches pour le renouveler ?"
expiration_d_une_atda,train,"Je constate que mon attestation d’enregistrement arrive au terme de sa validité, merci de m’indiquer la suite."
expiration_d_une_atda,train,"L’autorisation liée à ma demande d’asile va périmer, puis‑je la faire prolonger sans rendez‑vous ?"
expiration_d_une_atda,test,Ma preuve de dépôt pour l’asile arrive à son terme et je n’ai pas encore reçu de convocation pour la suite.
expiration_d_une_atda,test,Que dois‑je faire lorsque l’attestation fournie par la préfecture n’est plus valide ?
expiration_d_une_atda,test,"L’ATDA que je détiens est sur le point de se périmer, j’aimerais connaître la procédure de renouvellement."
expiration_d_une_atda,test,Je crains de me retrouver sans justificatif car ma carte de demandeur d’asile expire sous peu.
expiration_d_une_atda,test,Pouvez‑vous m’informer sur les documents à fournir pour prolonger mon attestation d’enregistrement ?
mise_a_jour_infos_atda,train,J’ai déménagé récemment et je veux signaler ma nouvelle adresse pour mon attestation de demande d’asile.
mise_a_jour_infos_atda,train,"Mon numéro de téléphone a changé, comment puis‑je mettre à jour mes coordonnées dans mon dossier ATDA ?"
mise_a_jour_infos_atda,train,Je souhaite ajouter le nom de mon enfant né récemment à mon dossier d’asile.
